alu	?Are?are
bjf	Barzani Jewish Neo-Aramaic
bzw	Basa
bsl	Basa-Gumna
buj	Basa-Gurmana
bas	Basaa
bdb	Basap
byq	Basay
lel	Bashilele
bsg	Bashkardi
ba	Bashkir
bst	Basketo
eu	Basque
bsq	Bassa
bsr	Bassa-Kontagora
bsc	Bassari
bsi	Bassossi
bta	Bata
ayt	Bataan Ayta
ifb	Batad Ifugao
bya	Batak
bnm	Batanga
btq	Batek
btv	Bateri
bhm	Bathari
btc	Bati (Cameroon)
bvt	Bati (Indonesia)
bbl	Bats
btu	Batu
zbt	Batui
bay	Batuley
bbd	Bau
sne	Bau Bidayuh
bsf	Bauchi
brg	Baure
bge	Bauria
bxa	Bauro
bwk	Bauwaki
bvz	Bauzi
bar	Bavarian
bgr	Bawm Chin
mkq	Bay Miwok
bjy	Bayali
bvy	Baybayanon
byg	Baygo
byl	Bayono
bda	Bayot
bxj	Bayungu
bfr	Bazigar
beo	Beami
bea	Beaver
bfp	Beba
bzv	Bebe
beb	Bebele
bek	Bebeli
bxp	Bebil
tnr	Bedik
bjv	Bedjond
bed	Bedoanas
bkf	Beeke
bxq	Beele
beq	Beembe
bnz	Beezen
bby	Befang
bqv	Begbere-Ejar
bej	Beja
bei	Bekati'
bkv	Bekwarra
bkw	Bekwel
beg	Belait
bxb	Belanda Bor
bvi	Belanda Viri
be	Belarusian
byw	Belhariya
blm	Beli
bzj	Belize Kriol English
blc	Bella Coola
brw	Bellari
bem	Bemba
bmb	Bembe
dbt	Ben Tey Dogon
yun	Bena
bef	Benabena
bcq	Bench
bdp	Bende
bct	Bendi
bnv	Beneraf
nhb	Beng
bng	Benga
bn	Bengali
bgy	Benggoi
bqy	Bengkala Sign Language
bnu	Bentong
byd	Benyadu'
bue	Beothuk
bie	Bepour
brf	Bera
bxv	Berakou
bve	Berau Malay
lod	Berawan
brc	Berbice Creole Dutch
bkl	Berik
bit	Berinomo
bom	Berom
wti	Berta
byt	Berti
mhe	Besisi
bes	Besme
bep	Besoa
bfe	Betaf
bew	Betawi
byf	Bete
btt	Bete-Bendi
eot	Beti
xub	Betta Kurumba
kap	Bezhta
bhd	Bhadrawahi
bhx	Bhalay
bha	Bharia
btl	Bhatola
bgw	Bhatri
bht	Bhattiyali
bhe	Bhaya
bhy	Bhele
bhi	Bhilali
bhb	Bhili
bho	Bhojpuri
nes	Bhoti Kinnauri
bhu	Bhunjia
bif	Biafada
bdf	Biage
bhw	Biak
beh	Biali
bpv	Bian Marind
big	Biangai
byk	Biao
bmt	Biao Mon
bje	Biao-Jiao Mien
bth	Biatah Bidayuh
bcn	Bibaali
xbp	Bibbulman
bid	Bidiyo
bym	Bidyara
bjg	Bidyogo
bmc	Biem
bnk	Bierebo
brj	Bieria
biu	Biete
nmb	Big Nambas
bhc	Biga
xbe	Bigambal
bh	Bihari
bix	Bijori
bic	Bikaru
bcl	Bikol Central
byb	Bikya
bip	Bila
bql	Bilakura
kfs	Bilaspuri
bpz	Bilba
brz	Bilbil
bil	Bile
bll	Biloxi
blb	Bilua
bxf	Bilur
bhp	Bima
bhl	Bimin
bim	Bimoba
bmn	Bina
bxz	Binahari
bhg	Binandere
byj	Binawa
xbd	Bindal
bon	Bine
bpj	Binji
itb	Binongan Itneg
bne	Bintauna
bny	Bintulu
bkd	Binukid
bjr	Binumarien
biq	Bipi
brr	Birao
btf	Birgit
biy	Birhor
bzr	Biri
bqq	Biritai
brk	Birked
bvq	Birri
xbj	Birrpayi
brl	Birwa
ije	Biseni
bpy	Bishnupriya Manipuri
bwh	Bishuo
bnw	Bisis
bi	Bislama
bir	Bisorio
bib	Bissa
bzi	Bisu
bgk	Bit
brt	Bitare
mcc	Bitur
bwm	Biwat
byo	Biyo
bpm	Biyom
blp	Blablanga
art-bsp	Black Speech
bla	Blackfoot
bfh	Blafe
beu	Blagar
blr	Blang
byn	Blin
bgl	Bo
mae	Bo-Rukul
mux	Bo-Ung
bzn	Boano (Maluku)
bzl	Boano (Sulawesi)
bgb	Bobongko
bty	Bobot
boy	Bodo (Central Africa)
brx	Bodo (India)
gbj	Bodo Gadaba
bdv	Bodo Parja
bff	Bofi
bvw	Boga
boq	Bogaya
bux	Boghom
bqu	Boguru
bhn	Bohtan Neo-Aramaic
bzf	Boikin
ybk	Bokha
bqc	Boko
bus	Bokobaru
bdt	Bokoto
bky	Bokyi
bnp	Bola
art-blk	Bolak
bld	Bolango
bol	Bole
bvo	Bolgo
bli	Bolia
smk	Bolinao
bvl	Bolivian Sign Language
blv	Bolo
bkt	Boloki
bof	Bolon
bzm	Bolondo
blj	Bolongan
ply	Bolyu
bmf	Bom
boh	Boma
bml	Bomboli
bws	Bomboma
zmx	Bomitaba
bmq	Bomu
bmw	Bomwali
glc	Bon Gula
peh	Bonan
bou	Bondei
bfw	Bondo
kzc	Bondoukou Kulango
dbu	Bondum Dom Dogon
bna	Bonerate
bdg	Bonggi
bpg	Bonggo
bui	Bongili
bot	Bongo
bpu	Bongu
bok	Bonjo
bvg	Bonkeng
bop	Bonkiman
bnc	Bontoc
bnb	Bookan
bnl	Boon
bvf	Boor
boa	Bora
kvn	Border Kuna
gai	Borei
ksr	Borong
bor	Bor?ro
brn	Boruca
bwf	Boselewa
bqs	Bosngun
bmj	Bote-Majhi
bph	Botlikh
sbl	Botolan Sambal
nku	Bouna Kulango
bzo	Bozaba
aof	Bragat
brh	Brahui
bra	Braj
bzs	Brazilian Sign Language
kvl	Brek Karen
buq	Brem
brq	Breri
br	Breton
bzd	Bribri
bfi	British Sign Language
bro	Brokkat
sgt	Brokpake
bkk	Brokskat
plw	Brooke's Point Palawano
bpl	Broome Pearling Lugger Pidgin
kxd	Brunei
bsb	Brunei Bisaya
jid	Bu
bwx	Bu-Nao Bunu
bub	Bua
cbl	Bualkhaw Chin
box	Buamu
bvb	Bube
buw	Bubi
bbx	Bubia
stt	Budeh Stieng
btp	Budibud
bdx	Budong-Budong
buu	Budu
bdk	Budukh
bdm	Buduma
bja	Budza
bbh	Bugan
buk	Bugawac
bgt	Bughotu
bug	Buginese
sab	Buglere
bgg	Bugun
ubl	Buhi'non Bikol
bku	Buhid
bxh	Buhutu
byh	Bujhyal
sdo	Bukar-Sadung Bidayuh
bvk	Bukat
bhh	Bukhari
bvu	Bukit Malay
bkn	Bukitan
ape	Bukiyip
tkb	Buksa
bxk	Bukusu
xbo	Bulgar
bg	Bulgarian
bqn	Bulgarian Sign Language
bmp	Bulgebi
bwu	Buli (Ghana)
bzq	Buli (Indonesia)
buy	Bullom So
sti	Bulo Stieng
bum	Bulu (Cameroon)
bjl	Bulu (New Guinea)
bmv	Bum
byp	Bumaji
bvp	Bumang
aon	Bumbita Arapesh
kjz	Bumthangkha
buv	Bun
bvn	Buna
bck	Bunaba
bfn	Bunak
bdd	Bunama
bns	Bundeli
bqd	Bung
but	Bungain
xbg	Bunganditj
bkz	Bungku
wun	Bungu
dgb	Bunoge Dogon
bnn	Bunun
aus-bun	Bunurong
blf	Buol
bwr	Bura
mde	Bura Mabang
bys	Burak
bkg	Buraka
bvr	Burarra
bti	Burate
bxn	Burduna
bvh	Bure
bji	Burji
my	Burmese
bzu	Burmeso
mhs	Buru (Indonesia)
bqw	Buru (Nigeria)
bry	Burui
aip	Burumakok
bdi	Burun
bds	Burunge
bsk	Burushaski
bqr	Burusu
asi	Buruwai
bua	Buryat
bqp	Busa
bxs	Busam
bsm	Busami
bfg	Busang Kayan
buc	Bushi
buf	Bushoong
bso	Buso
bup	Busoa
dox	Bussa
bju	Busuu
kyb	Butbut Kalinga
xby	Butchulla
bnr	Butmas-Tur
btw	Butuanon
bhs	Buwal
byy	Buya
xpy	Buyeo
byi	Buyu
jiy	Buyuan Jinuo
bww	Bwa
bwd	Bwaidoka
tte	Bwanabwana
bwa	Bwatoo
bwe	Bwe Karen
bwl	Bwela
bwc	Bwile
bwz	Bwisi
bee	Byangsi
mkk	Byep
gkm	Byzantine Greek
dri	C'lela
msq	Caac
cjp	Cab?car
cbb	Cabiyar?
miu	Cacaloxtepec Mixtec
ccr	Cacaopera
roc	Cacgia Roglai
cbv	Cacua
cad	Caddo
ccd	Cafundo Creole
cbh	Cagua
cah	Cahuarano
chl	Cahuilla
zad	Cajonos Zapotec
ckx	Caka
cak	Cakchiquel
ckz	Cakchiquel-Quich? Mixed Language
cky	Cakfem-Mushere
grk-cal	Calabrian Greek
tbk	Calamian Tagbanwa
caw	Callawalla
rmq	Cal?
clu	Caluyanun
abd	Camarines Norte Agta
xba	Camba
mcu	Cameroon Mambila
wes	Cameroon Pidgin
rab	Camling
cml	Campalagian
sro	Campidanese Sardinian
kbh	Cams?
cmt	Camtho
xcc	Camunic
cbu	Candoshi-Shapra
ram	Canela
caz	Canichana
yue	Cantonese
cov	Cao Miao
kaq	Capanahua
cps	Capiznon
cpg	Cappadocian Greek
cot	Caquinte
caq	Car Nicobarese
cfd	Cara
cby	Carabayo
crf	Caramanta
cbc	Carapana
xcr	Carian
hns	Caribbean Hindustani
jvn	Caribbean Javanese
cbd	Carijona
crr	Carolina Algonquian
cal	Carolinian
rmc	Carpathian Romani
crx	Carrier
cbr	Cashibo-Cacataibo
cbs	Cashinahua
dgc	Casiguran Dumagat Agta
asc	Casuarina Coast Asmat
ca	Catalan
csc	Catalan Sign Language
chc	Catawba
cca	Cauca
cav	Cavine?a
cyb	Cayubaba
cay	Cayuga
xcy	Cayuse
sef	Cebaara Senoufo
ceb	Cebuano
xce	Celtiberian
cam	Cemuh?
cen	Cen
cns	Central Asmat
tzm	Central Atlas Tamazight
awu	Central Awyu
bca	Central Bai
zbc	Central Berawan
lbk	Central Bontok
agt	Central Cagayan Agta
dtp	Central Dusun
grv	Central Grebo
zch	Central Hongshuihe Zhuang
nch	Central Huasteca Nahuatl
hmc	Central Huishui Hmong
ckb	Central Kurdish
mwo	Central Maewo
zam	Central Mahuatl?n Zapoteco
pse	Central Malay
mxz	Central Masela
hmm	Central Mashan Hmong
maz	Central Mazahua
mel	Central Melanau
cmo	Central Mnong
nhn	Central Nahuatl
ncb	Central Nicobarese
ojc	Central Ojibwa
plc	Central Palawano
pbs	Central Pame
poo	Central Pomo
ncx	Central Puebla Nahuatl
sml	Central Sama
ess	Central Siberian Yupik
csm	Central Sierra Miwok
syb	Central Subanen
tgt	Central Tagbanwa
tar	Central Tarahumara
tuf	Central Tunebo
cet	Cent??m
cme	Cerma
caa	Ch'orti'
tjw	Chaap Wuurong
cbi	Chachi
cao	Ch?cobo
shu	Chadian Arabic
cds	Chadian Sign Language
cdy	Chadong
chg	Chagatai
ciy	Chaima
ckh	Chak
cli	Chakali
ccp	Chakma
cll	Chala
cld	Chaldean Neo-Aramaic
tgf	Chalikha
ceg	Chamacoco
cji	Chamalal
cdg	Chamari
ccg	Chamba Daka
ndi	Chamba Leko
cdh	Chambeali
can	Chambri
ccc	Chamicuro
ch	Chamorro
caj	Chan?
nbc	Chang
snq	Chango
cga	Changriwa
cna	Changthang
chx	Chantyal
cra	Chara
cdn	Chaudangsi
crv	Chaura
cbk	Chavacano
cbt	Chayahuita
mih	Chayuco Mixtec
xtb	Chazumba Mixtec
ruk	Che
ce	Chechen
mrn	Cheke Holo
xch	Chemakum
cjn	Chenapian
cde	Chenchu
cnu	Chenoua
cdm	Chepang
ycp	Chepya
cpn	Cherepon
chr	Cherokee
ych	Chesu
ctc	Chetco
cwg	Chewong
chy	Cheyenne
hne	Chhattisgarhi
ctn	Chhintange
cur	Chhulung
csd	Chiangmai Sign Language
cip	Chiapanec
chb	Chibcha
trs	Chicahuaxtla Triqui
ny	Chichewa
zpv	Chichicapan Zapotec
pei	Chichimeca-Jonaz
coh	Chichonyi-Chidzihana-Chikauma
cic	Chickasaw
cob	Chicomuceltec
dig	Chidigo
dug	Chiduruma
mii	Chigmecatitl?n Mixtec
clc	Chilcotin
csg	Chilean Sign Language
clh	Chilisso
csa	Chiltepec Chinantec
zoh	Chimalapa Zoque
cid	Chimariko
cbg	Chimila
cih	Chinali
cnb	Chinbon Chin
zh	Chinese
cpi	Chinese Pidgin English
csl	Chinese Sign Language
chh	Chinook
chn	Chinook Jargon
cap	Chipaya
chp	Chipewyan
cbe	Chipiajes
maq	Chiquihuitl?n Mazatec
cax	Chiquitano
apm	Chiricahua
nhd	Chirip?
cdf	Chiru
ctm	Chitimacha
cik	Chitkuli Kinnauri
tog	Chitonga
ctg	Chittagonian
the	Chitwania Tharu
iow	Chiwere
zpc	Choapan Zapotec
cgk	Chocangacakha
coz	Chochotec
cho	Choctaw
cdi	Chodri
nri	Chokri Naga
cjk	Chokwe
ctu	Chol
cht	Chol?n
cog	Chong
cda	Choni
cce	Chopi
xco	Chorasmian
nct	Chothe Naga
crw	Chrau
cje	Chru
cqd	Chuanqiandian Cluster Miao
cjv	Chuave
cvg	Chug
cac	Chuj
cuh	Chuka
ckt	Chukchi
cuw	Chukwa
clw	Chulym
ncu	Chumburung
cdj	Churahi
scb	Chut
chk	Chuukese
xcv	Chuvantsy
cv	Chuvash
chw	Chuwabu
cib	Ci Gbe
cia	Cia-Cia
ckl	Cibak
awc	Cicipu
cim	Cimbrian
mkx	Cinamiguin Manobo
cdr	Cinda-Regi-Tiyal
cie	Cineni
cin	Cinta Larga
asg	Cishingini
txt	Citak
tgd	Ciwogai
myz	Classical Mandaic
cmg	Classical Mongolian
nci	Classical Nahuatl
nwc	Classical Newari
qwc	Classical Quechua
syc	Classical Syriac
xct	Classical Tibetan
xcw	Coahuilteco
csi	Coast Miwok
kzj	Coastal Kadazan
kjc	Coastal Konjo
zca	Coatecas Altas Zapotec
naz	Coatepec Nahuatl
mco	Coatl?n Mixe
zps	Coatl?n Zapotec
miz	Coatzospan Mixtec
cod	Cocama-Cocamilla
coj	Cochimi
coc	Cocopa
coa	Cocos Islands Malay
crd	Coeur d'Alene
con	Cof?n
kog	Cogui
liw	Col
csn	Colombian Sign Language
gct	Colonia Tovar German
cof	Colorado
col	Columbia-Wenatchi
cco	Comaltepec Chinantec
com	Comanche
xcm	Comecrudo
art-com	Communicationssprache
cfg	Como Karim
coo	Comox
cno	Con
cnc	C??ng
csz	Coos
zoc	Copainal? Zoque
trc	Copala Triqui
cop	Coptic
coq	Coquille
crn	Cora
cry	Cori
kw	Cornish
co	Corsican
csr	Costa Rican Sign Language
mta	Cotabato Manobo
xcn	Cotoname
cow	Cowlitz
kox	Coxima
coy	Coyaima
pbf	Coyotepec Popoloca
toc	Coyutla Totonac
cr	Cree
mus	Creek
gme-cgo	Crimean Gothic
crh	Crimean Tatar
csq	Croatian Sign Language
mfn	Cross River Mbembe
cro	Crow
crz	Cruze?o
cua	Cua
csf	Cuban Sign Language
cub	Cubeo
cui	Cuiba
cul	Culina
cuo	Cumanagoto
xcb	Cumbric
cum	Cumeral
cuq	Cun
